"mPFC.NA","mPFC.DOPAC","mPFC.DA","mPFC.5_HIAA","mPFC.HVA","mPFC.5_HT","mPFC.3_MT","Nacc.NA","Nacc.DOPAC","Nacc.DA","Nacc.5_HIAA","Nacc.HVA","Nacc.5_HT","Nacc.3_MT","Cpu.NA","Cpu.DOPAC","Cpu.DA","Cpu.5_HIAA","Cpu.HVA","Cpu.5_HT","Cpu.3_MT","Hipp.NA","Hipp.DOPAC","Hipp.DA","Hipp.5_HIAA","Hipp.HVA","Hipp.5_HT","Amyg.NA","Amyg.DOPAC","Amyg.DA","Amyg.5_HIAA","Amyg.HVA","Amyg.5_HT","Amyg.3_MT","VTA.NA","VTA.DOPAC","VTA.DA","VTA.5_HIAA","VTA.HVA","VTA.5_HT","VTA.3_MT","mPFC.Taurine","mPFC.Gln","mPFC.Gly","mPFC.Asp","mPFC.Glu","mPFC.Ala","mPFC.GABA","Nacc.Taurine","Nacc.Gln","Nacc.Gly","Nacc.Asp","Nacc.Glu","Nacc.Ala","Nacc.GABA","Cpu.Taurine","Cpu.Gln","Cpu.Gly","Cpu.Asp","Cpu.Glu","Cpu.Ala","Cpu.GABA","Hipp.Taurine","Hipp.Gln","Hipp.Gly","Hipp.Asp","Hipp.Glu","Hipp.Ala","Hipp.GABA","Amyg.Taurine","Amyg.Gln","Amyg.Gly","Amyg.Asp","Amyg.Glu","Amyg.Ala","Amyg.GABA","VTA.Taurine","VTA.Gln","VTA.Gly","VTA.Asp","VTA.Glu","VTA.Ala","VTA.GABA","yIsolation","yEncounter","yEncounterLength","yUSV"
314.54,97.57,139.025,269.5483333333,107.01,202.165,0,989.2163636364,1509.4454545454,9165.1563636363,520.1181818182,668.66,831.5709090909,195.0727272727,48.9058823529,2846.4658823529,10916.9505882353,344.4070588235,919.4894117647,170.28,304.4917647059,394.2070588235,11.8288235294,12.4535294118,391.1982352941,0,252.9970588235,576.9204705882,224.0357647059,525.0804705882,533.6145882353,45.2287058824,612.3303529412,25.1604705882,681.8135064935,448.4415584416,1373.2690909091,972.5376623377,264.3631168831,945.7698701299,40.2171428571,5.1083333333,2.8816666667,0.6216666667,1.8883333333,9.7066666667,0.43,1.5133333333,5.5527272727,4.84,0.6963636364,1.8363636364,8.5363636364,0.5781818182,5.28,7.8705882353,4.1270588235,0.6494117647,1.4164705882,9.7294117647,0.6517647059,1.96,5.2764705882,2.9047058824,0.6670588235,1.1223529412,7.2970588235,0.6970588235,1.9129411765,3.9995294118,3.7383529412,0.8371764706,1.8211764706,8.4296470588,0.5294117647,3.3035294118,1.9012987013,1.9044155844,0.8898701299,1.5568831169,4.2857142857,0.2493506494,3.1153246753,"Control","Control","None",7
335.0453333333,74.016,49.3386666667,316.744,80.8533333333,142.2186666667,26.368,3950.7585365854,391.5395121951,1792.9082926829,575.1834146341,247.9726829268,688.8468292683,74.2068292683,60.2778082192,899.64,6918.3353424658,354.0147945205,551.1928767123,352.9906849315,314.0087671233,429.8746391753,0,12.821443299,619.7443298969,17.8973195876,346.4783505155,697.6417582418,231.9112087912,712.7076923077,540.5103296703,71.9657142857,593.3301098901,24.8835164835,774.6909090909,474.6781818182,1605.6436363637,640.6163636364,287.7709090909,699.7545454546,69.8109090909,5.224,2.936,0.704,1.864,9.912,0.4826666667,1.68,3.5297560976,3.3307317073,0.6687804878,1.7136585366,6.0570731707,0.3219512195,9.3819512195,6.2695890411,3.5589041096,0.48,1.1539726027,6.7331506849,0.4980821918,2.1846575342,4.7715463918,2.9109278351,0.6593814433,1.1059793814,6.8919587629,0.6531958763,2.0251546392,4.6351648352,4.4294505495,0.6830769231,2.0769230769,10.0892307692,0.5512087912,4.0167032967,2.0090909091,2.5018181818,0.8290909091,1.3745454545,4.3654545455,0.2745454545,4.1454545455,"Control","Control","None",12
400.322,117.628,152.34,316.414,150.52,198.762,22.126,2097.8901265823,660.1321518987,3870.5969620253,632.3878481013,400.1483544304,710.4197468354,162.5453164557,64.5089655172,982.0248275862,8037.8482758621,489.2082758621,690.3255172414,348.4275862069,371.2910344828,360.0415841584,0,11.6102970297,562.262970297,18.8827722772,287.0566336634,565.1152293578,111.7959633028,530.4374311927,424.9618348624,48.4766972477,485.2579816514,25.3948623853,688.86,404.1235714286,1509.2978571429,759.0407142857,227.1921428571,907.5407142857,86.0678571429,5.352,7.676,0.77,2.606,12.338,0.506,1.722,3.8096202532,6.84,0.6486075949,2.2086075949,6.484556962,0.4162025316,6.8658227848,6.6882758621,7.8013793103,0.5586206897,1.44,8.484137931,0.644137931,2.0124137931,4.1607920792,6.1021782178,0.6392079208,1.1287128713,7.3104950495,0.6689108911,1.5588118812,3.8135779817,7.4366972477,0.5768807339,2.0366972477,9.4855045872,0.5031192661,2.7335779817,2.1021428571,5.6592857143,0.8957142857,1.9157142857,4.7721428571,0.315,4.605,"Control","Control","None",4
394.0169491525,72.1627118644,110.8027118644,297.4291525424,90.6386440678,258.1322033898,0,3692.01,727.0666666667,4071.135,557.8766666667,423.3983333333,671.585,125.1016666667,91.0175,900.5925,8301.25,372.59,565.88,425.74625,355.01125,303.564,0,10.7706666667,325.172,29.8226666667,266.944,612.1168141593,111.2463716814,484.3391150442,340.374159292,38.4488495575,535.0332743363,20.7546902655,822.8890140845,493.0901408451,1513.8185915493,814.1915492958,267.4073239437,888.3904225352,61.1492957746,6.746440678,3.7484745763,0.8562711864,2.5362711864,12.5776271186,0.553220339,1.8366101695,5.03,3.7633333333,0.805,2.295,6.745,0.425,8.6133333333,7.9575,4.47625,0.59375,1.545,8.3325,0.5625,2.555,5.1426666667,2.9186666667,0.64,1.256,7.4666666667,0.7,1.6813333333,5.1079646018,4.0736283186,0.6796460177,2.2205309735,10.1851327434,0.5309734513,2.6644247788,2.5994366197,2.9222535211,1.0022535211,1.8456338028,5.1278873239,0.3211267606,4.4923943662,"Control","Control","None",1
270.782,68.028,91.846,196.388,93.872,193.148,0,3368.1938461538,791.8876923077,3826.0276923077,616.2769230769,513.9061538462,679.6415384615,81.1230769231,68.9032258065,985.0296774193,10736.7974193547,386.8464516129,852.2451612903,315.9741935484,296.4219354839,409.83,0,9.2711538462,329.0388461538,9.8676923077,232.4192307692,549.1706896552,131.1279310345,615.7324137931,307.7855172414,55.9934482759,460.774137931,15.4168965517,417.9,51.2941935484,52.4806451613,819.4780645161,87.96,454.0316129032,19.7941935484,4.56,2.994,0.63,1.996,9.898,0.44,1.542,4.1369230769,3.8384615385,0.6938461538,1.9446153846,6.84,0.3784615385,9.0153846154,7.1290322581,4.4451612903,0.4941935484,1.4012903226,8.6993548387,0.5535483871,1.9806451613,4.8080769231,3.0334615385,0.6069230769,1.4192307692,7.755,0.6334615385,1.9015384615,4.2206896552,4.1968965517,0.6289655172,2.0234482759,9.7386206897,0.484137931,3.1644827586,1.4283870968,2.2606451613,0.9987096774,1.4651612903,4.7167741935,0.2129032258,1.6374193548,"Control","Control","None",2
341.1507692308,71.5790769231,124.4363076923,315.0147692308,135.8436923077,201.4652307692,0,2447.8153846154,609.5854945055,3212.8694505495,491.0083516484,387.2465934066,632.7652747253,146.4369230769,87.8226506024,1378.4342168675,7246.1725301204,353.0602409639,730.7869879518,208.7797590361,326.0862650602,261.2988679245,0,9.741509434,642.5739622642,0,236.5267924528,485.8016326531,73.3016326531,319.0053061225,307.6616326531,41.2102040816,487.1314285714,26.3889795918,986.4065454546,459.3010909091,1747.0276363637,513.6654545455,234.8814545455,612.7134545455,84.4014545455,5.3206153846,3.0313846154,0.6516923077,1.8886153846,10.5876923077,0.4726153846,1.8166153846,3.9586813187,3.4602197802,0.7265934066,1.7446153846,5.9142857143,0.4404395604,8.4751648352,7.298313253,4.0077108434,0.5175903614,1.1190361446,7.9503614458,0.6144578313,2.3580722892,4.5350943396,3.2694339623,0.6611320755,1.4298113208,7.7264150943,0.6033962264,2.1701886792,4.6224489796,4.1853061224,0.5804081633,1.7534693878,9.5987755102,0.5142857143,2.8004081633,2.0901818182,2.8647272727,0.8858181818,1.6385454545,4.6734545455,0.312,4.7367272727,"Control","Control","None",0
328.6023529412,72.3458823529,149.8676470588,206.4405882353,125.0894117647,243.7817647059,20.8835294118,2973.5727272727,577.1781818182,1754.92,696.8418181818,379.8218181818,638.42,37.9054545455,90.7506666667,1325.0906666667,12330.696,340.456,1259.736,217.008,334.3986666667,427.4959223301,0,22.0648543689,473.4815533981,12.1293203883,295.6066019417,465.4572631579,107.2572631579,650.6488421053,370.1418947368,45.0012631579,584.0728421053,24.8058947368,822.91,484.39,1631.738,698.944,286.29,824.338,40.336,4.8052941176,3.1429411765,0.6688235294,2.1988235294,10.4064705882,0.4605882353,1.6129411765,3.1854545455,3.1163636364,0.6854545455,2.0672727273,5.3381818182,0.3163636364,9.4854545455,8.052,4.576,0.5373333333,1.5946666667,9.5053333333,0.6133333333,2.22,4.5914563107,3.24,0.6932038835,1.6357281553,8.1448543689,0.6617475728,2.093592233,4.3263157895,3.9018947368,0.6151578947,1.7128421053,9.1932631579,0.4850526316,2.8193684211,2.252,2.972,0.958,1.748,4.868,0.334,4.974,"Control","Control","None",11
449.8933333333,56.1716666667,111.5133333333,290.155,85.415,265.2233333333,0,2802.084375,877.550625,5939.325,531.834375,534.345,726.403125,232.2675,80.3750649351,1221.9163636364,12333.2540259741,373.3823376623,928.1984415585,340.2638961039,459.9490909091,344.16,0,12.7710638298,577.4093617021,10.1438297872,393.8987234043,529.7684210526,158.2757894737,1053.4378947368,497.9410526316,66.4336842105,696.6484210526,67.5368421053,367.027826087,72.42,151.3356521739,868.687826087,103.4556521739,519.6495652174,10.8495652174,6.425,3.78,0.815,2.63,13.2583333333,0.6133333333,2.1983333333,4.681875,3.950625,0.744375,1.57875,7.044375,0.493125,8.056875,8.7350649351,4.9324675325,0.6233766234,1.7937662338,10.401038961,0.7153246753,2.5355844156,5.1165957447,3.2080851064,0.7059574468,1.6327659574,8.2914893617,0.7008510638,2.350212766,4.9347368421,3.9094736842,0.6631578947,1.8715789474,10.0021052632,0.5621052632,3.08,2.0347826087,2.04,1.3069565217,1.7556521739,6.0730434783,0.2947826087,2.3008695652,"Control","Control","None",15
459.9085714286,62.1342857143,113.3442857143,181.9757142857,97.0242857143,177,0,3570.210989011,358.1472527473,1768.3687912088,647.6017582418,224.2931868132,734.4303296703,62.4250549451,135.021509434,940.7354716981,7890.1267924528,514.9743396226,602.2075471698,552.621509434,333.8003773585,322.0674782609,18.528,13.5495652174,424.6893913043,10.2427826087,283.8208695652,533.9024299065,67.2,655.2998130841,450.8063551402,37.628411215,995.5704672897,38.6938317757,647.3926530612,424.8244897959,1750.5183673469,558.1714285714,241.7387755102,720.8497959184,13.5379591837,5.9507142857,3.8528571429,0.885,2.37,12.1735714286,0.5828571429,1.7871428571,3.4668131868,3.6725274725,0.7450549451,2.3498901099,6.8268131868,0.3415384615,8.276043956,6.9803773585,4.3460377358,0.6294339623,1.6403773585,8.4430188679,0.561509434,2.9150943396,4.444173913,2.6692173913,0.5739130435,1.2031304348,7.195826087,0.6406956522,1.603826087,4.5263551402,3.9465420561,0.6628037383,2.0041121495,10.0979439252,0.5170093458,2.3428037383,2.28,2.8506122449,0.8840816327,1.7167346939,4.6481632653,0.3330612245,3.707755102,"Isolation","Control","None",1
389.4410526316,77.4552631579,134.2642105263,283.7557894737,132.36,310.6973684211,20.4205263158,4036.4268493151,535.3134246575,3116.2947945206,592.6273972603,353.3589041096,618.7430136986,101.9424657534,58.515483871,1231.3219354839,11771.730967742,508.2890322581,986.3729032258,380.0090322581,380.1561290323,396.2412,18.5724,7.3296,425.0268,9.57,285.0708,638.8668292683,127.0141463415,1076.743902439,586.816097561,64.8936585366,817.8307317073,43.2351219512,726.9129411765,399.2776470588,1583.2235294118,533.8964705882,233.9835294118,729.3388235294,73.8352941176,5.4521052632,3.0947368421,0.6963157895,2.1205263158,10.5631578947,0.4626315789,1.7336842105,3.7019178082,3.402739726,0.6706849315,1.7556164384,6.6295890411,0.3583561644,7.7243835616,8.3593548387,4.6219354839,0.8380645161,1.7148387097,9.764516129,0.7103225806,2.0941935484,5.2536,3.0192,0.69,1.4256,7.8756,0.7008,2.0004,4.352195122,4.1517073171,0.5882926829,1.952195122,9.3848780488,0.4668292683,4.3185365854,1.9035294118,2.2964705882,0.8023529412,1.5129411765,4.12,0.2752941176,3.7576470588,"Isolation","Control","None",5
